,CustomerID,Freq,SaleAmount,LastTransaction,ElapsedDays,Freq_log,SaleAmount_log,ElapsedDays_log,ClusterLabel
0,12346,1,77183.6,2011-01-18 10:01:00,327,0.6931471805599453,11.253955234248428,5.793013608384144,2
1,12347,182,4310.0,2011-12-07 15:52:00,4,5.209486152841421,8.368925174747135,1.6094379124341003,1
2,12348,31,1797.24,2011-09-25 13:13:00,77,3.4657359027997265,7.494563687769957,4.356708826689592,2
3,12349,73,1757.55,2011-11-21 09:51:00,20,4.30406509320417,7.472244884833674,3.044522437723423,1
4,12350,17,334.4,2011-02-02 16:01:00,312,2.8903717578961645,5.815323849389109,5.746203190540153,0
5,12352,85,2506.04,2011-11-03 14:37:00,38,4.454347296253507,7.826858053356098,3.6635616461296463,2
6,12353,4,89.0,2011-05-19 17:47:00,206,1.6094379124341003,4.499809670330265,5.332718793265369,0
7,12354,58,1079.4,2011-04-21 13:11:00,234,4.07753744390572,6.985086621918461,5.459585514144159,2
8,12355,13,459.4,2011-05-09 13:49:00,216,2.6390573296152584,6.132095676847728,5.37989735354046,0
9,12356,59,2811.43,2011-11-17 08:40:00,24,4.0943445622221,7.941804157314053,3.2188758248682006,1
10,12357,131,6207.67,2011-11-06 16:07:00,35,4.882801922586371,8.733701981297274,3.58351893845611,1
11,12358,19,1168.06,2011-12-08 10:26:00,3,2.995732273553991,7.063955286074528,1.3862943611198906,2
12,12359,245,6310.03,2011-10-13 12:47:00,59,5.5053315359323625,8.750054175177759,4.0943445622221,1
13,12360,129,2662.06,2011-10-18 15:22:00,54,4.867534450455582,7.887231116540211,4.007333185232471,1
14,12361,10,189.9,2011-02-25 13:51:00,289,2.3978952727983707,5.251749730731702,5.66988092298052,0
15,12362,266,5226.23,2011-12-06 15:40:00,5,5.58724865840025,8.56163678004062,1.791759469228055,1
16,12363,23,552.0,2011-08-22 10:18:00,111,3.1780538303479458,6.315358001522335,4.718498871295094,0
17,12364,85,1313.1,2011-12-02 10:22:00,9,4.454347296253507,7.180907299649593,2.302585092994046,1
18,12365,22,641.38,2011-02-21 14:04:00,293,3.1354942159291497,6.465180028897591,5.683579767338681,0
19,12367,11,168.9,2011-12-05 16:48:00,6,2.4849066497880004,5.135210028677887,1.9459101490553132,2
20,12370,166,3541.94,2011-10-19 14:51:00,53,5.117993812416755,8.172712169921061,3.9889840465642745,1
21,12371,63,1887.96,2011-10-26 10:16:00,46,4.1588830833596715,7.543781692052325,3.8501476017100584,2
22,12372,52,1298.04,2011-09-29 12:12:00,73,3.970291913552122,7.169380809114136,4.30406509320417,2
23,12373,14,364.6,2011-02-01 13:10:00,313,2.70805020110221,5.901539839579995,5.749392985908253,0
24,12374,33,742.9300000000001,2011-11-14 15:37:00,27,3.5263605246161616,6.6119469443852195,3.332204510175204,2
25,12375,17,457.5,2011-11-29 10:36:00,12,2.8903717578961645,6.127960291696519,2.5649493574615367,2
26,12377,77,1628.12,2011-01-28 15:45:00,317,4.356708826689592,7.395795270713971,5.762051382780177,2
27,12378,219,4008.62,2011-08-02 10:34:00,131,5.393627546352362,8.29645175271804,4.882801922586371,1
28,12379,40,852.24,2011-09-19 10:09:00,83,3.713572066704308,6.749040867823617,4.430816798843313,2
29,12380,104,2724.81,2011-11-18 11:27:00,23,4.653960350157523,7.910520910634419,3.1780538303479458,1
30,12381,87,1845.31,2011-12-05 12:44:00,6,4.477336814478207,7.520944331624911,1.9459101490553132,1
31,12383,99,1850.56,2011-06-08 08:02:00,186,4.605170185988092,7.523783805985769,5.231108616854587,2
32,12384,27,585.27,2011-11-11 08:39:00,30,3.332204510175204,6.373780434317173,3.4339872044851463,2
33,12386,10,401.9,2011-01-06 12:37:00,339,2.3978952727983707,5.998688392197302,5.8289456176102075,0
34,12388,100,2780.66,2011-11-24 12:30:00,17,4.61512051684126,7.930803150780256,2.8903717578961645,1
35,12390,32,549.84,2011-09-21 09:33:00,81,3.4965075614664802,6.311444385858925,4.406719247264253,2
36,12391,93,439.66,2011-11-18 12:07:00,23,4.543294782270004,6.0882736030360425,3.1780538303479458,2
37,12393,64,1582.6000000000001,2011-09-28 15:41:00,74,4.174387269895637,7.3674560152319755,4.31748811353631,2
38,12394,27,1272.48,2011-10-07 08:08:00,65,3.332204510175204,7.149508589545504,4.189654742026425,2
39,12395,156,3018.63,2011-11-20 15:21:00,21,5.056245805348308,8.012889586306857,3.091042453358316,1
40,12397,126,2409.9,2011-11-04 09:52:00,37,4.844187086458591,7.7877554007552545,3.6375861597263857,1
41,12398,85,1635.6599999999999,2011-10-25 10:27:00,47,4.454347296253507,7.4004128587924045,3.871201010907891,2
42,12399,59,1108.65,2011-08-12 13:15:00,121,4.0943445622221,7.011799929268738,4.804021044733257,2
43,12401,5,84.3,2011-02-09 13:50:00,305,1.791759469228055,4.446174454497633,5.723585101952381,0
44,12402,11,225.6,2011-01-20 13:49:00,325,2.4849066497880004,5.423186348593906,5.786897381366708,0
45,12403,5,427.7,2011-10-21 10:51:00,51,1.791759469228055,6.0607573736039315,3.9512437185814275,0
46,12405,54,1710.39,2011-07-14 08:52:00,150,4.007333185232471,7.445061184797548,5.017279836814924,2
47,12406,105,3415.3,2011-11-17 19:22:00,24,4.663439094112067,8.136313373066384,3.2188758248682006,1
48,12407,77,1708.1200000000001,2011-10-21 10:11:00,51,4.356708826689592,7.4437338971514055,3.9512437185814275,2
49,12408,105,2888.55,2011-11-07 12:27:00,34,4.663439094112067,7.968856059639959,3.5553480614894135,1
50,12409,109,11072.67,2011-09-22 10:38:00,80,4.700480365792417,9.312325497408466,4.394449154672439,1
